region,planning_year,reserve_margin
p20,2040,0.138
p20,2041,0.138
p20,2042,0.138
p20,2043,0.138
p20,2044,0.138
p20,2045,0.138
p20,2046,0.138
p20,2047,0.138
p20,2048,0.138
p20,2049,0.138
p20,2050,0.138
p21,2025,0.163
p21,2026,0.158
p21,2027,0.159
p21,2028,0.154
p21,2029,0.147
p21,2030,0.145
p21,2031,0.143
p21,2032,0.142
p21,2033,0.144
p21,2034,0.138
p21,2035,0.138
p21,2036,0.138
p21,2037,0.138
p21,2038,0.138
p21,2039,0.138
p21,2040,0.138
p21,2041,0.138
p21,2042,0.138
p21,2043,0.138
p21,2044,0.138
p21,2045,0.138
p21,2046,0.138
p21,2047,0.138
p21,2048,0.138
p21,2049,0.138
p21,2050,0.138
p22,2025,0.163
p22,2026,0.158
p22,2027,0.159
p22,2028,0.154
p22,2029,0.147
p22,2030,0.145
p22,2031,0.143
p22,2032,0.142
p22,2033,0.144
p22,2034,0.138
p22,2035,0.138
p22,2036,0.138
p22,2037,0.138
p22,2038,0.138
p22,2039,0.138
p22,2040,0.138
p22,2041,0.138
p22,2042,0.138
p22,2043,0.138
p22,2044,0.138
p22,2045,0.138
p22,2046,0.138
p22,2047,0.138
p22,2048,0.138
p22,2049,0.138
p22,2050,0.138
p23,2025,0.163
p23,2026,0.158
p23,2027,0.159
p23,2028,0.154
p23,2029,0.147
p23,2030,0.145
p23,2031,0.143
p23,2032,0.142
p23,2033,0.144
p23,2034,0.138
p23,2035,0.138
p23,2036,0.138
p23,2037,0.138
p23,2038,0.138
p23,2039,0.138
p23,2040,0.138
p23,2041,0.138
p23,2042,0.138
p23,2043,0.138
p23,2044,0.138
p23,2045,0.138
p23,2046,0.138
p23,2047,0.138
p23,2048,0.138
p23,2049,0.138
p23,2050,0.138
p24,2025,0.163
p24,2026,0.158
p24,2027,0.159
p24,2028,0.154
p24,2029,0.147
p24,2030,0.145
p24,2031,0.143
p24,2032,0.142
p24,2033,0.144
p24,2034,0.138
p24,2035,0.138
p24,2036,0.138
p24,2037,0.138
p24,2038,0.138
