technology,tech_detail,cost_case,basis_year,heat_rate,data_year
Nuclear,Nuclear,Conservative,2025,10.447,2023
Nuclear,Nuclear,Conservative,2028,10.447,2023
Nuclear,Nuclear,Conservative,2026,10.447,2023
Nuclear,Nuclear,Conservative,2027,10.447,2023
Nuclear,Nuclear,Conservative,2046,10.447,2023
Nuclear,NuclearSMR,Conservative,2024,10.447,2023
Nuclear,Nuclear,Conservative,2044,10.447,2023
Nuclear,Nuclear,Conservative,2038,10.447,2023
Nuclear,Nuclear,Conservative,2039,10.447,2023
Nuclear,Nuclear,Conservative,2040,10.447,2023
Nuclear,Nuclear,Conservative,2041,10.447,2023
Nuclear,Nuclear,Conservative,2042,10.447,2023
Nuclear,Nuclear,Conservative,2043,10.447,2023
Nuclear,Nuclear,Moderate,2021,10.447,2023
Nuclear,Nuclear,Moderate,2022,10.447,2023
Nuclear,Nuclear,Moderate,2023,10.447,2023
Nuclear,Nuclear,Moderate,2024,10.447,2023
Nuclear,Nuclear,Moderate,2025,10.447,2023
Nuclear,Nuclear,Moderate,2026,10.447,2023
Nuclear,Nuclear,Moderate,2036,10.447,2023
Nuclear,NuclearSMR,Conservative,2049,10.447,2023
Nuclear,NuclearSMR,Conservative,2041,10.447,2023
Nuclear,NuclearSMR,Conservative,2042,10.447,2023
Nuclear,NuclearSMR,Conservative,2043,10.447,2023
Nuclear,NuclearSMR,Conservative,2044,10.447,2023
Nuclear,NuclearSMR,Conservative,2045,10.447,2023
Nuclear,NuclearSMR,Conservative,2046,10.447,2023
Nuclear,NuclearSMR,Conservative,2047,10.447,2023
Nuclear,NuclearSMR,Conservative,2048,10.447,2023
Nuclear,NuclearSMR,Conservative,2050,10.447,2023
Nuclear,NuclearSMR,Moderate,2030,10.447,2023
Nuclear,NuclearSMR,Moderate,2021,10.447,2023
Nuclear,NuclearSMR,Moderate,2022,10.447,2023
Nuclear,NuclearSMR,Moderate,2023,10.447,2023
Nuclear,NuclearSMR,Moderate,2024,10.447,2023
Nuclear,NuclearSMR,Moderate,2025,10.447,2023
Nuclear,NuclearSMR,Moderate,2027,10.447,2023
Nuclear,NuclearSMR,Moderate,2028,10.447,2023
Nuclear,Nuclear,Moderate,2047,10.447,2023
Nuclear,NuclearSMR,Conservative,2040,10.447,2023
Nuclear,NuclearSMR,Conservative,2039,10.447,2023
Nuclear,NuclearSMR,Conservative,2038,10.447,2023
Nuclear,Nuclear,Moderate,2048,10.447,2023
Nuclear,NuclearSMR,Conservative,2026,10.447,2023
Nuclear,NuclearSMR,Conservative,2027,10.447,2023
Nuclear,NuclearSMR,Conservative,2028,10.447,2023
Nuclear,NuclearSMR,Conservative,2023,10.447,2023
Nuclear,NuclearSMR,Conservative,2029,10.447,2023
Nuclear,NuclearSMR,Conservative,2030,10.447,2023
Nuclear,NuclearSMR,Conservative,2022,10.447,2023
Nuclear,NuclearSMR,Conservative,2021,10.447,2023
Nuclear,NuclearSMR,Conservative,2031,10.447,2023
Nuclear,NuclearSMR,Conservative,2032,10.447,2023
Nuclear,NuclearSMR,Conservative,2033,10.447,2023
Nuclear,NuclearSMR,Conservative,2034,10.447,2023
Nuclear,NuclearSMR,Conservative,2035,10.447,2023
Nuclear,NuclearSMR,Conservative,2036,10.447,2023
Nuclear,Nuclear,Moderate,2050,10.447,2023
Nuclear,Nuclear,Moderate,2049,10.447,2023
Nuclear,NuclearSMR,Conservative,2037,10.447,2023
Nuclear,NuclearSMR,Moderate,2029,10.447,2023
Nuclear,Nuclear,Moderate,2045,10.447,2023
Nuclear,Nuclear,Moderate,2034,10.447,2023
Nuclear,NuclearSMR,Moderate,2048,10.447,2023
Nuclear,NuclearSMR,Moderate,2049,10.447,2023
Nuclear,NuclearSMR,Moderate,2050,10.447,2023
Nuclear,Nuclear,Moderate,2039,10.447,2023
Nuclear,Nuclear,Moderate,2038,10.447,2023
Nuclear,Nuclear,Moderate,2037,10.447,2023
Nuclear,NuclearSMR,Conservative,2025,10.447,2023
Nuclear,Nuclear,Moderate,2035,10.447,2023
Nuclear,Nuclear,Moderate,2033,10.447,2023
Nuclear,NuclearSMR,Moderate,2031,10.447,2023
Nuclear,Nuclear,Moderate,2032,10.447,2023
Nuclear,Nuclear,Moderate,2031,10.447,2023
Nuclear,Nuclear,Moderate,2030,10.447,2023
Nuclear,Nuclear,Moderate,2029,10.447,2023
Nuclear,Nuclear,Moderate,2028,10.447,2023
Nuclear,Nuclear,Moderate,2027,10.447,2023
Nuclear,NuclearSMR,Moderate,2047,10.447,2023
Nuclear,Nuclear,Moderate,2040,10.447,2023
Nuclear,Nuclear,Moderate,2041,10.447,2023
Nuclear,Nuclear,Moderate,2042,10.447,2023
Nuclear,NuclearSMR,Moderate,2032,10.447,2023
Nuclear,NuclearSMR,Moderate,2033,10.447,2023
Nuclear,NuclearSMR,Moderate,2034,10.447,2023
Nuclear,NuclearSMR,Moderate,2035,10.447,2023
Nuclear,NuclearSMR,Moderate,2036,10.447,2023
Nuclear,NuclearSMR,Moderate,2037,10.447,2023
Nuclear,NuclearSMR,Moderate,2038,10.447,2023
Nuclear,NuclearSMR,Moderate,2039,10.447,2023
