p99,p133,p128,p131
816,450,706,863
983,628,556,665
983,676,528,699
983,982,550,691
983,569,658,689
983,983,983,692
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,891,981,983
983,799,962,983
983,498,693,777
983,453,570,671
983,270,372,475
983,203,111,312
983,204,160,117
983,487,337,212
983,366,463,444
568,208,752,570
256,206,657,524
151,374,409,292
108,515,395,238
72,204,205,205
99,169,120,211
73,104,205,137
97,197,156,109
116,297,417,98
111,341,372,171
108,591,401,242
170,620,446,189
220,514,553,220
280,441,279,123
253,411,95,214
303,215,15,111
256,52,27,81
255,0,49,34
108,0,0,11
263,0,0,28
136,0,0,15
95,0,0,20
59,0,0,34
94,17,39,60
233,43,72,82
159,95,126,134
328,100,138,150
608,124,135,204
881,191,156,170
734,228,272,194
983,292,294,217
983,366,399,206
983,186,98,203
983,91,120,106
983,145,139,290
983,133,103,197
983,222,190,298
983,221,438,315
983,333,615,540
983,341,674,595
983,755,754,983
983,436,514,983
983,568,578,983
983,544,897,983
983,868,979,795
983,983,983,734
983,983,983,789
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,914
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
925,983,983,983
983,983,983,983
843,983,983,983
591,903,983,983
455,956,983,983
380,983,983,983
321,983,983,983
338,983,983,983
225,983,983,983
179,983,983,983
104,983,983,954
96,983,983,949
83,983,898,861
87,983,708,803
60,822,724,625
115,577,564,548
24,397,492,495
0,353,454,290
0,592,676,386
0,475,405,242
0,165,259,115
0,79,142,75
46,63,107,74
81,26,67,85
101,57,71,78
419,74,80,71
591,73,102,25
983,76,79,23
983,120,112,35
983,91,90,26
983,19,54,18
983,27,61,1
983,0,13,0
983,0,0,0
983,0,0,0
983,0,0,0
983,13,0,0
983,28,0,13
983,142,128,61
983,241,166,158
937,405,355,185
845,470,420,366
611,461,747,494
382,526,844,309
322,450,753,632
201,604,796,419
145,410,692,255
117,340,555,602
89,310,464,385
88,187,170,393
37,138,137,414
0,129,106,311
1,220,134,510
31,369,77,502
90,350,389,404
67,378,354,337
58,303,280,249
34,287,278,223
33,261,230,201
52,218,163,147
64,185,135,114
54,136,115,89
47,110,86,76
44,85,78,70
39,68,70,55
44,60,69,39
33,40,48,50
25,18,28,44
27,0,12,23
31,0,0,53
2,0,0,21
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
41,0,0,0
56,0,0,0
63,0,0,0
53,0,0,0
82,0,0,0
41,16,0,0
0,23,0,0
9,59,0,0
244,58,39,0
255,76,54,0
635,82,31,0
347,119,44,7
332,130,64,58
462,156,88,41
301,222,96,51
409,87,106,79
316,61,120,124
